email,business_name,area,category,google_rating,google_reviews,personal_open,email_status
info@andamandaphuket.com,Andamanda Phuket,Old Town,Water park,4.3,6192,Travelers on NUM keep asking about water park options in Old Town — and Andamanda Phuket (4.3★ on Google) is already on our map.,ok
info@aussiediversphuket.com,Aussie Divers Phuket,Chalong,Tours & travel,5,1208,Travelers on NUM keep asking about tours & travel options in Chalong — and Aussie Divers Phuket (5★ on Google) is already on our map.,ok
aera.juice@gmail.com,aera juice,Phuket Town,Café,,,Travelers on NUM keep asking about café options in Phuket Town — and aera juice (well known locally) is already on our map.,ok
agliamici.phuket@gmail.com,Agli Amici Pizzeria,Chalong,Restaurant,,,Travelers on NUM keep asking about restaurant options in Chalong — and Agli Amici Pizzeria (well known locally) is already on our map.,ok
alissephuket@gmail.com,alisseCloud,Bang Tao,Café,,,Travelers on NUM keep asking about café options in Bang Tao — and alisseCloud (well known locally) is already on our map.,ok
altaiphuket@gmail.com,Altai,Kata,Café,,,Travelers on NUM keep asking about café options in Kata — and Altai (well known locally) is already on our map.,ok
reservations.phuket@amatara.com,Amatara Wellleisure Resort,Cape Panwa,Hotel,,,Travelers on NUM keep asking about hotel options in Cape Panwa — and Amatara Wellleisure Resort (well known locally) is already on our map.,ok
reservations@andamanwhitebeach.com,Andaman White Beach Resort,Nai Yang,Hotel,,,Travelers on NUM keep asking about hotel options in Nai Yang — and Andaman White Beach Resort (well known locally) is already on our map.,ok
angpaohotel@gmail.com,Angpao Hotel,Koh Kaew,Hotel,,,Travelers on NUM keep asking about hotel options in Koh Kaew — and Angpao Hotel (well known locally) is already on our map.,ok
chalongbeachhotelandspa@live.com,Aochalong Villa Resort & Spa,Chalong,Hotel,,,Travelers on NUM keep asking about hotel options in Chalong — and Aochalong Villa Resort & Spa (well known locally) is already on our map.,ok
contact@asiayachtagency.com,Asia Yacht Agency,Paklok,Boat charter,,,Travelers on NUM keep asking about boat charter options in Paklok — and Asia Yacht Agency (well known locally) is already on our map.,ok
info@austrian-garden.com,Austrian Garden Hotel & Restaurant,Patong,Hotel,,,Travelers on NUM keep asking about hotel options in Patong — and Austrian Garden Hotel & Restaurant (well known locally) is already on our map.,ok
info@bb-beachhouse.com,B&B Beach House,Patong,Hotel,,,Travelers on NUM keep asking about hotel options in Patong — and B&B Beach House (well known locally) is already on our map.,no_mx
baanarjor@gmail.com,Baan Ar-jor,Mai Khao,Museum,,,Travelers on NUM keep asking about museum options in Mai Khao — and Baan Ar-jor (well known locally) is already on our map.,ok
info@karonburi.com,Baan Karonburi Resort,Karon,Hotel,,,Travelers on NUM keep asking about hotel options in Karon — and Baan Karonburi Resort (well known locally) is already on our map.,ok
baannapatr@gmail.com,Baan Napatr,Cherngtalay,Hotel,,,Travelers on NUM keep asking about hotel options in Cherngtalay — and Baan Napatr (well known locally) is already on our map.,ok
baansuayresortphuket@yahoo.com,Baan Suay,Karon,Hotel,,,Travelers on NUM keep asking about hotel options in Karon — and Baan Suay (well known locally) is already on our map.,ok
order@batumi-restaurant-phuket.com,Baraka,Phuket Town,Restaurant,,,Travelers on NUM keep asking about restaurant options in Phuket Town — and Baraka (well known locally) is already on our map.,no_mx
info@beachcoconutsbowls.com,Beach Coconuts Bowls,Rawai,Café,,,Travelers on NUM keep asking about café options in Rawai — and Beach Coconuts Bowls (well known locally) is already on our map.,ok
