business_name,website,area,category,google_rating
Cafe Phuket Viewpoint,https://instagram.com/cafephuket_viewpoint?igshid=YmMyMTA2M2Y=,Patong,Cafe,4.6
Amritsr Restaurant Patong- Indian Restaurant in Phuket,http://www.amritsr.com/,Patong,Indian Restaurant,4.9
Cappadocia Turkish Restaurant Patong Phuket,https://www.cappadociarestaurantsthailand.com/,Patong,Turkish Restaurant,4.9
Amritsr Restaurant Patong Beach Road - Indian Restaurant in Phuket,https://amritsr.com/,Patong,Indian Restaurant,4.8
Phuket FantaSea,https://phuketfantasea.fun,Kamala,Theme park,4.4
Chillva Market,https://www.facebook.com/Chillvamarket,Old Town,Market,4.4
"KIRI Restaurant, Kata Beach",https://www.sugarmarinahotel.com/restaurants/,Kata,Restaurant,4.7
Café del Mar Phuket Beach Club,https://phuket.cafedelmar.com/?utm_source=google&utm_medium=organic&utm_campaign=gbp-website-link,Kamala,Business,4.3
Illuzion Phuket,http://www.illuzionphuket.com/,Patong,Nightlife,4.4
Amritsr Old Town,https://www.amritsr.com/,Phuket Town,Indian Restaurant,4.8
Zuri Restaurant Patong Beach Phuket | Sunset Dining & Cocktails,https://zurirestaurant.com/,Patong,Restaurant,4.8
Little Paris French Bistronomy Restaurant Phuket,https://www.littleparisphuket.com/,Bang Tao,French Restaurant,4.8
Sansabai Massage,http://www.sansabai-massage.com/,Patong,Spa,4.8
One Chun Cafe & Restaurant,https://openlink.co/onechunphuket,Phuket Town,Thai Restaurant,4.4
Naughty Nuri’s Phuket,https://naughtynuristhailand.com/,Patong,Restaurant,4.7
Meg Khram the Sunshine & Submarine 223 Bar,https://megkhramthesunshine.com/,Patong,Restaurant,4.7
KUDO Hotel & Beach Club,https://www.kudohotel.com/,Patong,Business,4.5
SIAM Phuket - Seafood Restaurant,https://dejavusinternational.com/siam-seafood.php,Patong,Restaurant,4.8
"KIRI Restaurant, Karon Beach",http://www.kiriphuket.com/,Karon,Restaurant,4.7
Kan Eang Restaurant - ร้านกันเอง,https://kaneang.com/,Chalong,Seafood Restaurant,4.5
Day & Night Of Phuket,https://www.dayandnight.co.th/phuket/,Phuket Town,Restaurant,4.7
BOOST | Cafe & Restaurant Phuket,https://boostcafethailand.com/,Nai Harn,Cafe,4.8
Tu Kab Khao Restaurant Phuket,https://www.facebook.com/tukabkhao/,Old Town,Thai Restaurant,4.2
Patong Social Phuket Restaurant & Hotel - Best Indian & Thai Food,http://wa.me/+66%2081%20676%202707,Patong,Restaurant,4.8
Chekhoff,https://foodmenu.online/chekhoffphuket,Kata,Family Restaurant,4.8
Club Med Phuket,https://www.clubmed.de/cm/resort-phuket-thailand_p-14-l-AE-v-PHUC-ac-vh.html,Kata,Hotel,4.6
"NARA MASSAGE & SPA PHUKET (Chalong, Patak Rd.)",http://www.naramassagespa.com/,Chalong,Massage spa,4.8
Tann Beach club,https://tannbeachclub.com/,Kata,Business,4.5
Baan Thai Seafood Restaurant,https://baanthaiseafoodrestaurant.shop/,Patong,Seafood Restaurant,4.8
Aquaria Phuket,https://www.aquaria-phuket.com/,Old Town,Aquarium,4.3
Ton Mai Spa & Massage Rawai Phuket,https://www.tonmaispa.com/,Rawai,Spa,4.8
Harem Club Phuket,https://suzywongs.com/harem.html,Patong,Night Club,4.9
TAPAS Cafe & Restaurant - Phuket Old Town,https://tapasphuket.com/,Phuket Town,Restaurant,4.8
Hidden Cafe Phuket,https://openlink.co/hiddencafephuket,Kata,Restaurant,4.8
Blue Elephant Phuket Cooking School & Restaurant,https://www.blueelephant.com/phuket/,Old Town,Thai Restaurant,4.7
Phuket Elephant Sanctuary,http://www.phuketelephantsanctuary.org/,Paklok,Tourist Attraction,4.8
Yona Beach Club,https://www.yonabeach.com/?utm_source=google&utm_medium=business_profile&utm_campaign=website_button,Koh Kaew,Business,4.7
Barra Cuda Beach Club Phuket,https://www.barracudaphuket.com/,Patong,Business,4.8
Hilltop cafe - Sinae Phuket Luxury Hotel,https://order.handigo.co/booking/table-booking/307/27,Phuket Town,Cafe,4.1
Suzy Wong's A Go-Go,https://suzywongs.com/,Patong,Business,4.8
SAMA Onsen & Massage,https://samaonsenspa.com/,Phuket Town,Massage spa,4.9
"E-Gokart Track (G Floor, Central Phuket Floresta) - 电动卡丁车赛道 - Трасса для электрокартинга -",http://egokart.monowheel.bike/,Old Town,Go-karting venue,4.9
The Neighbors Cafe,https://www.facebook.com/theneighborshostel/,Phuket Town,Breakfast Restaurant,4.7
Pure Serenity Luxury Spa - Patong Phuket,https://pureserenityphuket.com/,Patong,Spa,4.9
Royal Phuket City Hotel,https://www.royalphuketcity.com/,Phuket Town,Hotel,4.3
Malika Sky Bar,https://www.kalimaresort.com/dining/malika-sky-bar-and-terrace,Patong,Bar,4.9
Carpe Diem Beach Club - Phuket,http://www.carpediemphuket.com/,Surin,Business,4.8
Chekhoff Restaurant & Bakery,https://taplink.cc/chekhoffphuket,Karon,Restaurant,4.9
Dino Park Mini Golf & Restaurant,https://www.dinopark.com/,Kata,Golf Course,4.4
Sea Massage Phuket,https://www.seamassagephuket.com/,Phuket Town,Spa,4.8
Su Va Na,https://suvanaphuket.com/,Old Town,Fine Dining Restaurant,4.8
Tree Bay Clubhouse,https://treebay.bookmai.com/en/menu,Kata,Restaurant,4.7
Lyn's Spa & Massage Patong - Authentic Thai Spa,https://lynspapatong.com/,Patong,Spa,4.9
Issara Restaurant & Bar – Kata Beach,https://issaraphuket.com/,Kata,Restaurant,4.8
GOAT Beach Club Phuket,https://www.goatbeachclubphuket.com/,Surin,Mediterranean Restaurant,5
Catch Beach Club,http://www.catchbeachclub.com/,Bang Tao,Business,4.2
Novotel Phuket City Phokeethra,https://all.accor.com/lien_externe.svlt?goto=fiche_hotel&code_hotel=9932&merchantid=seo-maps-TH-9932&sourceid=aw-cen&utm_medium=seo%20maps&utm_source=google%20Maps&utm_campaign=seo%20maps,Phuket Town,Hotel,4.6
Suzy Wongs 3,http://www.suzywongs.com/suzy-wongs-3,Patong,Night Club,4.9
Blu Monkey Hub & Hotel Phuket,http://www.blumonkeyphuket.com/,Phuket Town,Hotel,4.5
"Golden Paradise Restaurant(NORTH-INDIAN CURRY HOUSE) || Best Indian Restaurant, Veg And Non Veg Restaurant, Vegan Restaurant",https://www.goldenparadiserestaurants.com/,Kata,Indian Restaurant,4.8
"Oasis Spa (Turquoise Cove Spa, Kamala)",https://oasisspa.net/en/destination/phuket/Turquoise_Cove_Spa/?utm_source=mamgbp&utm_medium=gbp&utm_campaign=tck,Kamala,Spa,4.8
The Kitchen Patong,https://www.kitchen-thailand.net/,Patong,Restaurant,4.5
Phuket Dive Tours - Patong Dive Center,http://phuketdivetours.com/,Patong,Sporting Goods Store,5
New York Live Music Bar,https://newyorklivemusic.club/,Patong,Bar,4.4
Hello Gold5 Massage & Spa,https://www.facebook.com/profile.php?id=61560024874428&mibextid=LQQJ4d,Patong,Health,4.9
Smigo's Bar & Restaurant,http://www.smigobarphuket.com/,Bang Tao,Bar & Grill,4.7
B2 Phuket Boutique & Budget Hotel,http://www.b2hotel.com/phuket/b2-phuket-boutique-budget-hotel/,Old Town,Hotel,4.3
Ciao Pizza and Grill,https://pizzagrillphuket.com/?&utm_source=googlemaps&utm_medium=googlemaps_website&utm_campaign=googlemaps_website&utm_content=googlemaps_website,Karon,Italian Restaurant,4.6
Cattleya Restaurant Kata Beach,https://cattleyakata.com/,Kata,Restaurant,4.8
Jay’s Kitchen,https://www.jayskitchenkaron.com,Karon,Restaurant,4.9
De Flora Spa & Massage,http://www.defloraspa.com/,Patong,Massage spa,4.5
Chann Spa,https://www.channspaphuket.com/,Kamala,Spa,5
Khubani Rooftop Bar and Restaurant خوباني,https://khubanirooftopphuket.com/,Patong,Turkish Restaurant,4.8
Kata on Fire Bar and Grill,https://www.facebook.com/Kataonfirebarandgrill/,Kata,Restaurant,4.7
Ko Ang Seafood,http://www.facebook.com/arngseafood.phuket,Phuket Town,Seafood Restaurant,4.2
NumNum Old Town Cafe & Restaurant,https://www.numnumoldtown.com/,Old Town,Turkish Restaurant,4.8
FLYO Rooftop Beach Club Phuket,http://flyophuket.com/,Patong,Lounge bar,4.8
